id                                  , season_id                           , episode_number, title                                                                                             , description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , thumbnail_url                                                                                                                                                      , duration, download_url_720p                         , download_url_1080p                        , file_size_720p, file_size_1080p, views_count, downloads_count, created_at                   , updated_at                   , volume_id
00550ff8-74af-4605-beda-173af96b52cc, 93365761-6229-43e0-9965-74344433a819,              1, 'Kaaran Batau' Notice                                                                             , "Annu faces a demanding new boss, while the Mishra family battles corruption, navigating the treacherous path between integrity and desperation in their struggle to save their home."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , https://image.tmdb.org/t/p/w500/oTk8o2iT1J7n85HADlkfYjph2wa.jpg                                                                                                    ,       34,                                           ,                                           ,               ,                ,           0,               0, 2026-06-10 09:32:33.989384+00, 2026-08-01 12:14:58.714693+00, 
009ccfee-5a4f-4437-b9ef-e0947c932b1c, 9201c77c-8f4b-4b10-8161-3c5a8395303e,              2, Last Christmas                                                                                    , "In the wake of an earth-shattering betrayal, Belly tries to pick up the pieces. Caught in the crossfire, Taylor picks a fight with Steven that ends in disaster."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , https://image.tmdb.org/t/p/w500/w4vuEq9fjecuP44nKEuvbnEd9k3.jpg                                                                                                    ,       59,                                           ,                                           ,               ,                ,           0,               0, 2026-08-08 08:48:10.896794+00, 2026-08-08 08:48:10.896794+00, 
00a0ff13-be33-4900-bd05-23c2de627157, c1f6ee97-2c7c-4139-a6b6-4c061538c870,              6, Trust                                                                                             , The team reels from the news of the latest death. Lyès receives on an urgent mission and Tatoo asks Assia for help before telling her to leave town.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , https://image.tmdb.org/t/p/w500/4xmkysCqeyxPam0uq47dPGebgfs.jpg                                                                                                    ,       48, https://hubcloud.foo/drive/o1x1lfjnxynbdqi, https://hubcloud.foo/drive/bl5rnl9vixb17ue, 457.11 MB     , 1003.98 MB     ,           0,               0, 2025-12-30 02:14:36.535524+00, 2026-08-01 12:14:58.714693+00, 
00a8caa8-f9ce-4191-bb87-9b3da31995e4, a44a3706-f472-4981-8b23-c6826c9c27ab,              1, The Crazies                                                                                       , Lyès and his team bust a drug deal with shady new players — and face heat from Commissioner Fabiani. Interpol agent Alice Vidal arrives in Marseille.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , https://image.tmdb.org/t/p/w500/t4I4EKoZOQ7dQ8qiaAg0IzCkzHN.jpg                                                                                                    ,       52, https://hubcloud.foo/drive/9qk19xjcmucg2yp, https://hubcloud.foo/drive/2s1p4glqr1jvz2t, 491.9 MB      , 1.05 GB        ,           0,               0, 2025-12-30 02:14:35.896173+00, 2026-08-01 12:14:58.714693+00, 
00c7698d-4aef-4c04-8df8-4a3c12d0138b, d6d9e449-e5dc-4e0c-9a1f-cdd5c55a9864,             52, Young Founders And Big Ideas                                                                      , "Private event platform for networking by Two Words Away, a student opportunity platform by PeerX, handmade crochet by Floreal, and a smart pet collar and GPS tracker by MyPerro. Will the Sharks invest in brands built by these young entrepreneurs?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , https://image.tmdb.org/t/p/w500/r6RoZYjuFCLSWGZyGSyTsj0oixx.jpg                                                                                                    ,       83,                                           ,                                           ,               ,                ,           0,               0, 2026-04-14 13:30:58.753289+00, 2026-08-01 12:14:58.714693+00, 
00cbc1a8-72fa-4bc8-b60c-c448b9fe662a, 7c61a0ce-154d-4970-b55f-043166b710d5,             16, Decision                                                                                          , "Misa is in confinement, though her memories of the Death Note have been completely wiped away. When Light is confined as well, the murders stop and suspicion of Light grows stronger. Then suddenly, the killings resume."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , https://image.tmdb.org/t/p/w500/hjCoHx1bUBWefQpfCbrqGMf3OBU.jpg                                                                                                    ,       22, https://hubcloud.foo/drive/ujrxxlxrxpui1pu, https://hubcloud.foo/drive/wmkmekedduirxmx, 221.92 MB     , 498.51 MB      ,           0,               0, 2025-12-30 02:20:58.100503+00, 2026-08-01 12:14:58.714693+00, 
00d13ce5-2054-4dbf-a70a-03411ee203f1, e5e12c65-2b5c-42e0-ad2b-5f03c0555f4e,              6, Poorna Swaraj                                                                                     , "While drafting the Transfer of Power plan for Independent India, V.P. Menon struggles to accommodate the Congress’s need for Poorna Swaraj and the British demand for Dominion Status."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , https://image.tmdb.org/t/p/w500/w2SDDF662VMYcBfbsTgHgjOZb4g.jpg                                                                                                    ,       46, https://hubcloud.foo/drive/uo7gqcdtgtsqtoo, https://hubcloud.foo/drive/14qi1esm17t1i7q, 407.74 MB     , 926.18 MB      ,           0,               0, 2026-01-11 03:36:37.748334+00, 2026-08-01 12:14:58.714693+00, 
00da05fd-1d7d-4f5a-a1bf-2f3096b2f513, 67ca2e33-e3de-4bdf-8f1a-1dfe31ba45ef,            135, Kon is Deceived! Rangiku on the Lookout...                                                        , Kon is forced to live with a girl named Miyuki.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , https://image.tmdb.org/t/p/w500/c5MpDnUsorj4gYVreq2uXa4485c.jpg                                                                                                    ,       24,                                           ,                                           ,               ,                ,           0,               0, 2026-01-28 10:25:08.242494+00, 2026-08-01 12:14:58.714693+00, 
00f0e697-40dd-40f3-b595-f49c65806742, 06640198-75c1-482b-9a18-6b6dce9b8837,              3, Episode 3                                                                                         , "In a tight-knit Punjabi household, Ghuppi a stammering teen, secretly chases his dream of football while being forced by his revered Ragi singer father to uphold the family tradition. As tensions rise, both father and son must confront."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                    ,       26, https://hubcloud.foo/drive/nzuzlzz1y3p01zs, https://hubcloud.foo/drive/znqqjjggcuu1nqm, 231.25 MB     , 524.93 MB      ,           0,               0, 2026-02-08 19:12:40.028292+00, 2026-08-01 12:14:58.714693+00, 
00fa779e-93c5-4526-bccc-1fc6cc35ab01, 9976285f-f99a-43d7-afc8-3afe1826bea2,              7, Sliding Doors                                                                                     , "Dee Dee comes clean to Ash, and zeroes in on a new target. The police find a lead connected to the Shining Truth, and Simon returns to Rocco's basement."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , https://image.tmdb.org/t/p/w500/eLin9ULN0n27u8zYJVH7j5dBxTw.jpg                                                                                                    ,       43, https://hubcloud.foo/drive/n9r3peaknxahj14, https://hubcloud.foo/drive/r1fxwxlwdadqzed, 416.15 MB     , 891.37 MB      ,           0,               0, 2026-01-04 21:45:48.490536+00, 2026-08-01 12:14:58.714693+00, 
01101b07-9378-4703-8a74-1b6fe585b39f, d0a1f0e2-5127-4052-83b6-3b012e63ebd7,              7, Time to Go                                                                                        , "As the anniversary party approaches, Anneliese reveals a painful secret. The gang gets in gear for a high-stakes rescue mission at The Manor."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , https://image.tmdb.org/t/p/w500/f7QA1EmMNDbeeOGazQzTilpKoAl.jpg                                                                                                    ,       42, https://hubcloud.foo/drive/xn1bz0k1d171bb1, https://hubcloud.foo/drive/yobp5zyb4p7b170, 417.26 MB     , 915.24 MB      ,           0,               0, 2026-05-22 06:49:41.569023+00, 2026-08-01 12:14:58.714693+00, 
011487a4-028d-4a72-b857-8ed4c5be5510, d09d5a1c-7687-4fe9-94d3-af0c80f4f3c3,              3, Episode 3                                                                                         , "Blame for the Kobbari Thota blast falls on Naidu, but Bharathi continues to aid the victims despite the backlash. Peddanna leads a protest demanding accountability, resulting in arrests later resolved by bharathi. Naidu tactically advances his plans and secures a significant alliance, leaves Bharathi in shock."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , https://image.tmdb.org/t/p/w500/1wcggD9ry23RjtOK3EsqvumsmSd.jpg                                                                                                    ,       33,                                           ,                                           ,               ,                ,           0,               0, 2026-07-03 16:15:06.811692+00, 2026-08-01 12:14:58.714693+00, 
01638f59-d0be-43a9-8f8a-b212f36886ea, ad44cef7-d825-4683-935a-79a484dce7ec,              6, Mission Almost Impossible                                                                         , A lost suitcase causes even more stress for the gang. Victor's father puts Rosa to the test and Ezéchiel takes something very precious from Marionnaud.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , https://image.tmdb.org/t/p/w500/zrumygbWJRcrNobm4t1m5dZeH1m.jpg                                                                                                    ,       45, https://hubcloud.foo/drive/lzmyus2he9j1zh1, https://hubcloud.foo/drive/avej6ifpfjuiai8, 441.99 MB     , 987.61 MB      ,           0,               0, 2026-02-06 11:44:16.722197+00, 2026-08-01 12:14:58.714693+00, 
0164cb7d-dce3-4d44-a529-723f58c38d44, 2ffc88c0-d52e-4438-960b-88a69239603b,              5, Shanti Samjhauta                                                                                  , Manju Devi reluctantly agrees to Bhushan's proposal of entering into a peace agreement with the MLA. Abhishek too gives his nod as it's impossible to get the road built without MLA's support.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , https://image.tmdb.org/t/p/w500/pSPL8qy28oIXRGs5dGUDg6G8HyD.jpg                                                                                                    ,       36, https://hubcloud.foo/drive/razq25h4azr179z, https://hubcloud.foo/drive/bxtvfizrne3cpvz, 322.01 MB     , 703.89 MB      ,           0,               0, 2026-01-20 20:44:21.75216+00 , 2026-08-01 12:14:58.714693+00, 
016a2ad0-3df8-41f0-abf8-e2a5b5fcb928, 20adde2e-01b5-4844-b196-4f3320349df3,              1, Vacation                                                                                          , "Nicole runs into trouble with her evidence. On a family vacation in Austria, Björn tries to relax — but one serious slip shows he still has work to do."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , https://image.tmdb.org/t/p/w500/lRgdovYgHEJ4PogTZhh8nTT8XLo.jpg                                                                                                    ,       37, https://hubcloud.foo/drive/evlf1b1dlddj1xu, https://hubcloud.foo/drive/sy3sibypppippwv, 361.1 MB      , 794.08 MB      ,           0,               0, 2026-05-29 14:37:16.215145+00, 2026-08-01 12:14:58.714693+00, 
016d1a6a-df99-4ca5-8d9c-bc7aaef1ceb2, d6d9e449-e5dc-4e0c-9a1f-cdd5c55a9864,             30, Episode 30                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                    ,         , https://hubcloud.foo/drive/xqote545o9fo5sl, https://hubcloud.foo/drive/c5poxgzo7lo5rrt, 469.91 MB     , 1.06 GB        ,           0,               0, 2026-02-08 05:25:08.979765+00, 2026-08-01 12:14:58.714693+00, 
01805480-46b2-4d7d-80c2-79438184c33f, 3c51b88c-3dc7-46a9-98fd-260b1aa7c41a,              3, Act of God Business                                                                               , "As Beth fights to secure their business, Rip confronts a deadly threat. Tensions erupt across Rio Paloma, and a reckoning forces everyone toward hard choices."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , https://image.tmdb.org/t/p/w500/l37OpzNN1MzdGSG8ibn33A7KQt4.jpg                                                                                                    ,       49, https://hubcloud.foo/drive/uqu7u7s48xxiduj, https://hubcloud.foo/drive/cn2ymiip0zneynm, 468.54 MB     , 979.8 MB       ,           0,               0, 2026-05-23 19:40:19.727039+00, 2026-08-01 12:14:58.714693+00, 
01b7e297-9871-4edd-8b3d-ea633b5ede21, 67ca2e33-e3de-4bdf-8f1a-1dfe31ba45ef,             20, Ichimaru Gin's Shadow                                                                             , "After completing their training, Ichigo Kurosaki and his friends depart to Soul Society to rescue Rukia Kuchiki."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , https://image.tmdb.org/t/p/w500/5Lmv2E9eK7nX3WVfutiWynQShlW.jpg                                                                                                    ,       23,                                           ,                                           ,               ,                ,           0,               0, 2026-01-28 10:25:08.00082+00 , 2026-08-01 12:14:58.714693+00, 
